Lat_Deg,Lat_Min,Lat_Sec,Lon_Deg,Lon_Min,Lon_Sec
39,9,0.27,-120,47,48.19
38,48,36.13,-123,37,29.4
38,58,12.58,-122,16,1.08
38,4,22.21,-121,46,0.47
38,32,18.79,-120,13,22.46
38,11,5.03,-119,58,7.43
37,41,9.67,-122,28,3.49
37,56,23.86,-121,10,23.68
37,35,34.58,-120,50,12.12
37,21,42.77,-119,34,15.68
37,13,7.6,-118,2,5.11
36,32,10.64,-119,48,46.38
36,46,55.87,-121,10,9.74
36,19,52.87,-120,20,27.02
36,48,6.49,-119,26,47.03
36,20,6.5,-118,59,9.94
36,43,32.85,-117,33,41.1
36,9,32.25,-117,53,4.23
36,17,40.11,-117,13,32.03
35,48,57.15,-120,27,59.89
35,9,19.47,-119,10,58.3
35,43,10.02,-118,2,52.72
35,5,7.59,-117,55,20.03
35,19,43.62,-116,56,14.23
35,29,38.89,-115,57,42.77
34,29,18.09,-120,3,53.1
34,21,32.42,-119,15,41.77
34,52,50.87,-118,30,9.37
34,34,35.47,-117,2,27.5
34,51,43.17,-119,18,21.99
34,24,47.05,-115,20,28.36
34,16,54.36,-114,13,2.73
33,47,5.97,-118,17,18.27
33,56,47.82,-117,7,33.17
33,24,9.95,-116,48,4.27
33,2,36.39,-115,10,5.46
33,27,17.56,-114,41,54.55
32,33,36.2,-117,10,54.56
32,56,33.49,-116,5,0.27
36,52,11.22,-121,20,4.21
36,9,47.88,-120,33,5.2
36,39,45.48,-119,17,37.78
36,7,0.5,-118,52,54.43
36,21,35.53,-117,29,8.94
35,16,59.09,-120,45,32.41
37,13,0.41,-117,46,27.88
35,36,20.73,-117,47,14.25
34,53,4.08,-117,5,25.75
35,8,37.95,-116,57,54.25
35,23,51.25,-115,22,29.05
35,55,48.32,-116,15,30.59
35,48,32.44,-116,12,11.7
35,14,41.84,-116,3,2.82
34,20,50.38,-116,49,22.8
34,44,49.65,-115,15,17.9
34,49,26.44,-115,37,27.56
34,5,46.65,-115,17,31.56
33,29,4.79,-115,38,47.09
38,2,49.76,-122,53,48.69
38,54,36.17,-121,5,22.34
